# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('pcgrnapartition.nex.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
atp6_mafft_NT_removed_chars_gb_codon1,301,1184,0.15578,408,1074,0.0550534,38,1435,0.629888
atp6_mafft_NT_removed_chars_gb_codon2,96,1388,0.0388617,128,1351,0.526513,52,1420,0.0114694
atp6_mafft_NT_removed_chars_gb_codon3,666,819,0.000389136,793,692,0.000120878,39,1446,0.263394
cox1_mafft_NT_removed_chars_gb_codon1,538,893,5.86692e-05,655,776,3.27149e-06,62,1367,0.833394
cox1_mafft_NT_removed_chars_gb_codon2,64,1365,0.412813,129,1292,0.313699,33,1381,0.468396
cox1_mafft_NT_removed_chars_gb_codon3,1107,324,0,1181,250,0,44,1387,0.309639
cox2_mafft_NT_removed_chars_gb_codon1,71,1414,0.42795,98,1382,0.26851,56,1416,0.567827
cox2_mafft_NT_removed_chars_gb_codon2,39,1446,0.432218,25,1448,0.285664,101,1362,0.544829
cox2_mafft_NT_removed_chars_gb_codon3,732,753,5.17516e-07,837,648,1.5125e-08,44,1441,0.932761
cox3_mafft_NT_removed_chars_gb_codon1,329,1102,0.000698027,447,984,0.000370419,55,1376,0.17536
cox3_mafft_NT_removed_chars_gb_codon2,46,1385,0.780334,41,1386,0.575673,78,1340,0.743647
cox3_mafft_NT_removed_chars_gb_codon3,754,677,3.00465e-07,868,563,1.33844e-08,43,1388,0.708857
cytb_mafft_NT_removed_chars_gb_codon1,616,869,0.000461392,711,772,0.000230062,75,1406,0.177
cytb_mafft_NT_removed_chars_gb_codon2,214,1271,0.00669655,345,1133,0.102654,50,1416,0.00876817
cytb_mafft_NT_removed_chars_gb_codon3,1094,391,1.18905e-12,1174,311,7.66054e-14,52,1433,0.308417
nad1_mafft_NT_removed_chars_gb_codon1,568,863,3.30595e-05,698,732,2.20303e-06,45,1384,0.714633
nad1_mafft_NT_removed_chars_gb_codon2,168,1262,0.557588,232,1196,0.570225,71,1343,0.410077
nad1_mafft_NT_removed_chars_gb_codon3,1064,367,0,1147,284,0,34,1397,0.732776
nad2_mafft_NT_removed_chars_gb_codon1,471,1014,2.94123e-09,587,898,5.80481e-11,65,1420,0.947596
nad2_mafft_NT_removed_chars_gb_codon2,198,1287,0.054403,254,1229,0.261464,75,1401,0.039129
nad2_mafft_NT_removed_chars_gb_codon3,943,542,3.92353e-13,1052,433,7.10543e-15,39,1446,0.774261
nad3_mafft_NT_removed_chars_gb_codon1,167,1318,0.0231846,245,1236,0.191946,63,1407,0.0193609
nad3_mafft_NT_removed_chars_gb_codon2,87,1397,0.811829,79,1388,0.978918,53,1405,0.426059
nad3_mafft_NT_removed_chars_gb_codon3,585,900,5.38839e-07,702,782,8.01448e-08,42,1441,0.287625
nad4L_mafft_NT_removed_chars_gb_codon1,107,1378,0.297241,108,1362,0.20974,94,1360,0.434501
nad4L_mafft_NT_removed_chars_gb_codon2,9,1462,0.19321,13,1398,0.0833621,78,1276,0.572148
nad4L_mafft_NT_removed_chars_gb_codon3,530,955,0.0645989,661,824,0.0106205,20,1463,0.880285
nad4_mafft_NT_removed_chars_gb_codon1,784,701,7.77415e-05,891,593,1.36615e-05,35,1448,0.364359
nad4_mafft_NT_removed_chars_gb_codon2,337,1148,0.0053761,398,1082,0.000869282,85,1386,0.613825
nad4_mafft_NT_removed_chars_gb_codon3,1120,365,3.33067e-16,1213,272,0,40,1445,0.487677
