# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nucpartitionsymtest.nex.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
atp6_mafft_NT_removed_chars_gb_codon1,273,1212,0.186759,364,1120,0.0927309,53,1421,0.503114
atp6_mafft_NT_removed_chars_gb_codon2,97,1387,0.0506941,138,1341,0.0435825,58,1414,0.218329
atp6_mafft_NT_removed_chars_gb_codon3,644,841,1.9583e-09,781,704,1.22133e-10,34,1451,0.430124
cox1_mafft_NT_removed_chars_gb_codon1,475,956,0.0831241,578,853,0.213243,60,1369,0.0826314
cox1_mafft_NT_removed_chars_gb_codon2,62,1367,0.591824,120,1301,0.564098,38,1376,0.458966
cox1_mafft_NT_removed_chars_gb_codon3,1111,320,0.0020054,1178,253,0.000205437,42,1389,0.756656
cox2_mafft_NT_removed_chars_gb_codon1,98,1387,0.369686,133,1349,0.158669,52,1421,0.726102
cox2_mafft_NT_removed_chars_gb_codon2,45,1440,0.995731,28,1450,0.895676,86,1380,0.998292
cox2_mafft_NT_removed_chars_gb_codon3,696,789,0.854559,812,673,0.554924,48,1437,0.910698
cox3_mafft_NT_removed_chars_gb_codon1,252,1126,0.0196307,378,1000,0.00214678,52,1326,0.932519
cox3_mafft_NT_removed_chars_gb_codon2,51,1327,0.39868,37,1337,0.407051,94,1271,0.344673
cox3_mafft_NT_removed_chars_gb_codon3,707,671,5.83039e-07,842,536,3.8866e-08,40,1338,0.550368
cytb_mafft_NT_removed_chars_gb_codon1,588,897,0.00419769,680,804,0.000821023,76,1405,0.513177
cytb_mafft_NT_removed_chars_gb_codon2,188,1297,0.00698312,311,1168,0.0102931,28,1440,0.0923248
cytb_mafft_NT_removed_chars_gb_codon3,1091,394,3.53375e-09,1178,307,2.26586e-10,54,1431,0.432676
nad1_mafft_NT_removed_chars_gb_codon1,502,929,0.000181765,641,789,1.53638e-05,45,1384,0.691084
nad1_mafft_NT_removed_chars_gb_codon2,145,1285,0.284036,197,1231,0.118707,70,1344,0.668913
nad1_mafft_NT_removed_chars_gb_codon3,1041,390,8.70415e-14,1125,306,4.10783e-15,37,1394,0.362371
nad2_mafft_NT_removed_chars_gb_codon1,421,1064,0.00506916,578,907,0.000868681,48,1437,0.582957
nad2_mafft_NT_removed_chars_gb_codon2,209,1276,0.34838,259,1224,0.59307,91,1384,0.186283
nad2_mafft_NT_removed_chars_gb_codon3,955,530,1.02931e-09,1078,407,2.34539e-11,46,1439,0.853274
nad3_mafft_NT_removed_chars_gb_codon1,126,1305,0.0338339,223,1204,0.226512,59,1357,0.0255336
nad3_mafft_NT_removed_chars_gb_codon2,118,1312,0.983418,120,1293,0.942598,45,1359,0.880935
nad3_mafft_NT_removed_chars_gb_codon3,534,897,3.76143e-06,635,795,3.39464e-07,41,1388,0.491205
